,0,1,2,3,4,5,6
0,64,100000,0.9,0.005,0.01,20,True
1,64,100000,0.9,0.005,0.01,20,False
2,64,100000,0.9,0.005,0.001,20,True
3,64,100000,0.9,0.005,0.001,20,False
4,64,100000,0.9,0.0005,0.01,20,True
5,64,100000,0.9,0.0005,0.01,20,False
6,64,100000,0.9,0.0005,0.001,20,True
7,64,100000,0.9,0.0005,0.001,20,False
8,64,100000,0.9,5e-05,0.01,20,True
9,64,100000,0.9,5e-05,0.01,20,False
10,64,100000,0.9,5e-05,0.001,20,True
11,64,100000,0.9,5e-05,0.001,20,False
12,64,100000,0.99,0.005,0.01,20,True
13,64,100000,0.99,0.005,0.01,20,False
14,64,100000,0.99,0.005,0.001,20,True
15,64,100000,0.99,0.005,0.001,20,False
16,64,100000,0.99,0.0005,0.01,20,True
17,64,100000,0.99,0.0005,0.01,20,False
18,64,100000,0.99,0.0005,0.001,20,True
19,64,100000,0.99,0.0005,0.001,20,False
20,64,100000,0.99,5e-05,0.01,20,True
21,64,100000,0.99,5e-05,0.01,20,False
